Transaction Date,Description,Category,Amount,Date,Amount (USD)
2024-03-19,Prime Video Channels,Entertainment,7.99,,
2024-03-17,Spotify USA,Phone/Cable,10.99,,
2024-03-16,TST* TONY C'S SPORTS B,Dining,51.49,,
2024-03-15,SP VERSO BOOKS,Merchandise,7.99,,
2024-03-14,Disney Plus,Phone/Cable,24.99,,
2024-03-06,APPLE.COM/BILL,Entertainment,2.99,,
2024-02-17,Spotify USA,Phone/Cable,10.99,,
2024-02-14,Disney Plus,Phone/Cable,24.99,,
2024-02-07,CAPITAL ONE MOBILE PYMT,Payment/Credit,-38.97,,
2024-02-07,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,-25.0,,
2024-02-06,APPLE.COM/BILL,Entertainment,2.99,,
2024-01-17,Spotify USA,Phone/Cable,10.99,,
2024-01-14,Disney Plus,Phone/Cable,24.99,,
2024-01-11,COLLEGEBOARD*PROFILE,Other,25.0,,
2024-01-09,CAPITAL ONE MOBILE PYMT,Payment/Credit,-79.43,,
2024-01-07,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,-51.94,,
2024-01-06,APPLE.COM/BILL,Merchandise,2.99,,
2024-01-05,CHILDRENS PARKING GARA,Health Care,2.0,,
2024-01-03,AMC ONLINE 9640,Entertainment,34.36,,
,MOBILE PAYMENT,,-100.0,04/27/2024,
,MOBILE PAYMENT,,-710.0,04/20/2024,
,USCIS ELIS N400 0000WASHINGTON          DC,Other-Government Services,710.0,04/18/2024,
,MOBILE PAYMENT,,-100.0,04/13/2024,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,27.98,04/08/2024,
,AMAZON.COM          AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,11.94,04/08/2024,
,MOBILE PAYMENT,,-100.0,04/06/2024,
,COQUETTE SEAPORT COQBOSTON              MA,Restaurant-Restaurant,111.15,04/05/2024,
,MOBILE PAYMENT,,-100.0,03/30/2024,
,PADDLE.NET* IMAZING ASTORIA             NY,Merchandise & Supplies-Internet Purchase,39.99,03/24/2024,
,MOBILE PAYMENT,,-150.0,03/23/2024,
,MOBILE PAYMENT,,-150.0,03/16/2024,
,MOBILE PAYMENT,,-150.0,03/12/2024,
,ALLIANZ EVENT INS   RICHMOND            VA,Business Services-Insurance Services,14.0,03/10/2024,
,ALLIANZ EVENT INS   RICHMOND            VA,Business Services-Insurance Services,42.0,03/10/2024,
,TM * SAVAGE         LOS ANGELES         CA,Entertainment-General Events,108.7,03/10/2024,
,JOE'S NEWBURY       BOSTON              MA,Restaurant-Restaurant,215.07,03/09/2024,
,TM * SAVAGE         LOS ANGELES         CA,Entertainment-General Events,326.1,03/09/2024,
,MOBILE PAYMENT,,-100.0,03/02/2024,
,MOBILE PAYMENT,,-100.0,02/24/2024,
,TST* ROW 34 - BOSTONBOSTON              MA,Restaurant-Restaurant,117.39,02/23/2024,
,MOBILE PAYMENT,,-150.0,02/17/2024,
,MARIEL              BOSTON              MA,Restaurant-Restaurant,114.61,02/16/2024,
,TARGET PLUS 0       BROOKLYN PARK       MN,Merchandise & Supplies-Internet Purchase,21.25,02/06/2024,
,TARGET.COM          800-591-3869        MN,Merchandise & Supplies-Internet Purchase,58.3,02/04/2024,
,MOBILE PAYMENT,,-150.0,02/03/2024,
,SEPHORA.COM         877-SEPHORA         CA,Merchandise & Supplies-Internet Purchase,136.0,02/01/2024,
,MOBILE PAYMENT,,-150.0,01/27/2024,
,Amazon Prime        Amazon.com          WA,Merchandise & Supplies-Mail Order,69.0,01/23/2024,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,84.98,01/20/2024,
,AMAZON.COM          AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,9.69,01/20/2024,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,45.98,01/19/2024,
,MOBILE PAYMENT,,-75.0,01/13/2024,
,EARLS ASSEMBLY ROW  Somerville          MA,Restaurant-Restaurant,122.83,01/06/2024,
,MOBILE PAYMENT,,-72.03,12/31/2023,
,MOBILE PAYMENT,,-100.0,12/23/2023,
,MOBILE PAYMENT,,-100.0,12/17/2023,
,CHEESECAKE 137 ONLINPEABODY             MA,Restaurant-Restaurant,94.8,12/15/2023,
,MOBILE PAYMENT,,-184.0,12/14/2023,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,177.23,12/13/2023,
,BURLINGTON ANIMAL CLBURLINGTON          MA,Business Services-Health Care Services,184.0,12/11/2023,
,MOBILE PAYMENT,,-93.7,11/23/2023,
,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,-35.05,11/17/2023,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,69.33,11/14/2023,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,59.42,11/02/2023,
,MOBILE PAYMENT,,-129.2,10/18/2023,
,MOBILE PAYMENT,,-350.0,10/06/2023,
,CITGO OIL CO        479-928-7135        OK,Transportation-Fuel,330.55,10/03/2023,
,MOBILE PAYMENT,,-150.0,09/28/2023,
,MOBILE PAYMENT,,-150.0,09/23/2023,
,RETURNED CHECK/DECLIANK TRANSACTIONS,Fees & Adjustments-Fees & Adjustments,150.0,09/23/2023,
,MOBILE PAYMENT,,-150.0,09/16/2023,
,MOBILE PAYMENT,,-150.0,09/10/2023,
,Par*Fogo Burlington Burlington          MA,Restaurant-Restaurant,90.0,09/09/2023,
,MOBILE PAYMENT,,-150.0,09/01/2023,
,LENSCRAFTERS        BURLINGTON          MA,Merchandise & Supplies-General Retail,408.65,08/29/2023,
,RENEWAL MEMBERSHIP FEE,Fees & Adjustments-Fees & Adjustments,250.0,08/28/2023,
,MOBILE PAYMENT,,-121.19,07/22/2023,
,MOBILE PAYMENT,,-150.0,07/19/2023,
,TST* MOLLYS RESTAURAHANOVER             NH,Restaurant-Restaurant,200.0,07/15/2023,
,MOBILE PAYMENT,,-100.0,06/23/2023,
,AplPay SP LUXORALONDGRAYS               GB,Merchandise & Supplies-Clothing Stores,96.0,06/19/2023,
,TST* TOSCANA FORNO 0PEABODY             MA,Restaurant-Restaurant,75.19,06/16/2023,
,MOBILE PAYMENT,,-154.64,05/20/2023,
,MOBILE PAYMENT,,-150.0,05/13/2023,
,TST* SOGNO 300576325WOBURN              MA,Restaurant-Restaurant,113.42,05/11/2023,
,WHOLEFDS LNF #10452 LYNNFIELD           MA,Merchandise & Supplies-Groceries,191.22,05/11/2023,
,MOBILE PAYMENT,,-16.73,05/06/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,04/24/2023,
,MOBILE PAYMENT,,-133.46,04/20/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,04/19/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,04/17/2023,
,MOBILE PAYMENT,,-122.71,04/14/2023,
,TST* MAJOR FOOD GROUBOSTON              MA,Restaurant-Restaurant,205.98,04/11/2023,
,MOBILE PAYMENT,,-84.42,03/31/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/30/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/29/2023,
,Interest Charge on Pay Over Time Purchases,Fees & Adjustments-Fees & Adjustments,5.06,03/28/2023,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,39.26,03/26/2023,
,MOBILE PAYMENT,,-100.0,03/26/2023,
,MOBILE PAYMENT,,-100.0,03/18/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/15/2023,
,BEST BUY CO   024646SHEPHERDSVILL       KY,Merchandise & Supplies-Electronics Stores,-116.86,03/15/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/13/2023,
,MOBILE PAYMENT,,-100.0,03/13/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/08/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/06/2023,
,MOBILE PAYMENT,,-100.0,03/04/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,03/01/2023,
,BESTBUYCOM8067456674RICHFIELD           MN,Merchandise & Supplies-Internet Purchase,116.86,02/28/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,02/27/2023,
,MOBILE PAYMENT,,-100.0,02/27/2023,
,Interest Charge on Pay Over Time Purchases,Fees & Adjustments-Fees & Adjustments,10.61,02/24/2023,
,JELLYCAT            LONDON              GB,Merchandise & Supplies-General Retail,34.56,02/24/2023,
,MOBILE PAYMENT,,-100.0,02/24/2023,
,AMK BRANDEIS LOW USDWALTHAM             MA,Business Services-Other Services,16.73,02/17/2023,
,MOBILE PAYMENT,,-100.0,02/14/2023,
,TST* THE BANCROFT BUBURLINGTON          MA,Restaurant-Restaurant,130.0,02/14/2023,
,MOBILE PAYMENT,,-100.0,02/08/2023,
,MOBILE PAYMENT,,-100.0,02/01/2023,
,Interest Charge on Pay Over Time Purchases,Fees & Adjustments-Fees & Adjustments,15.33,01/27/2023,
,MOBILE PAYMENT,,-100.0,01/25/2023,
,MOBILE PAYMENT,,-100.0,01/18/2023,
,MOBILE PAYMENT,,-100.0,01/11/2023,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,104.76,01/06/2023,
,MOBILE PAYMENT,,-100.0,01/04/2023,
,MOBILE PAYMENT,,-100.0,12/26/2022,
,MOBILE PAYMENT,,-300.0,12/17/2022,
,MOBILE PAYMENT,,-180.22,12/16/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,11.0,12/14/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,42.49,12/14/2022,
,SP LOVEPOPCARDS.COM CAMBRIDGE           MA,Merchandise & Supplies-General Retail,47.68,12/14/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,159.14,12/13/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,201.6,12/13/2022,
,BATH AND BODY WORKS PEABODY             MA,Merchandise & Supplies-Department Stores,77.48,12/13/2022,
,GAMESTOP #7832 00000PEABODY             MA,Merchandise & Supplies-General Retail,72.23,12/13/2022,
,H&M0132 0000        PEABODY             MA,Merchandise & Supplies-Clothing Stores,100.0,12/13/2022,
,AplPay SP WINE BY LASUN VALLEY          CA,Merchandise & Supplies-Groceries,130.0,12/11/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,19.96,12/09/2022,
,AMAZON MARKEPLACE NA PA,Merchandise & Supplies-Internet Purchase,24.99,12/09/2022,
,AplPay SP 3D LASER GWEST PARK           FL,Merchandise & Supplies-Furnishing,119.98,12/04/2022,
,DAVIO'S NORTHERN ITALYNNFIELD           MA,Restaurant-Restaurant,262.01,12/01/2022,
,NIKEPOS_US          BEAVERTON,Merchandise & Supplies-Sporting Goods Stores,49.99,11/29/2022,
,EXPRESS             PEABODY             MA,Merchandise & Supplies-Clothing Stores,110.0,11/25/2022,
,GAMESTOP #7832 00000PEABODY             MA,Merchandise & Supplies-General Retail,62.67,11/25/2022,
,MOBILE PAYMENT,,-214.67,11/15/2022,
,FROM YOU FLOWERS    800-838-8853        CT,Merchandise & Supplies-Internet Purchase,72.21,11/13/2022,
,CHICK-FIL-A #00772 0BURLINGTON          MA,Restaurant-Bar & Café,21.38,11/10/2022,
,MICHAELS STORES     BURLINGTON          MA,Merchandise & Supplies-Arts & Jewelry,121.08,11/10/2022,
,MOBILE PAYMENT,,-384.35,10/22/2022,
,TST* SOGNO 300576325WOBURN              MA,Restaurant-Restaurant,384.35,10/21/2022,
,MOBILE PAYMENT,,-722.86,10/16/2022,
,TST* LA HACIENDA RESEAST BOSTON         MA,Restaurant-Restaurant,330.0,10/07/2022,
,WHOLEFDS WOB 10233 0WOBURN              MA,Merchandise & Supplies-Groceries,94.49,10/07/2022,
,TST* LA HACIENDA RESEAST BOSTON         MA,Restaurant-Restaurant,127.33,09/26/2022,
,MOBILE PAYMENT,,-188.0,09/22/2022,
,TST* FRANK BEVERLY 0BEVERLY             MA,Restaurant-Restaurant,171.04,09/22/2022,
,WHOLEFDS LNF #10452 LYNNFIELD           MA,Merchandise & Supplies-Groceries,84.99,09/08/2022,
,NEWBURY COMICS      SAUGUS              MA,Merchandise & Supplies-Music & Video,103.01,09/01/2022,
,MOBILE PAYMENT,,-470.2,08/30/2022,
,RETURN PAYMENT FEE,Fees & Adjustments-Fees & Adjustments,29.0,08/29/2022,
,MEMBERSHIP FEE,Fees & Adjustments-Fees & Adjustments,250.0,08/28/2022,
,EXXONMOBIL 9745     BILLERICA           MA,Transportation-Fuel,47.81,08/25/2022,
,MOBILE PAYMENT,,-143.39,08/25/2022,
,RETURNED CHECK/DECLIANK TRANSACTIONS,Fees & Adjustments-Fees & Adjustments,143.39,08/25/2022,
,LEGO BRAND RETAIL INENFIELD             CT,Merchandise & Supplies-General Retail,74.36,08/18/2022,
,NEWBURY COMICS #4 00BURLINGTON          MA,Merchandise & Supplies-Music & Video,29.73,08/18/2022,
,WHOLEFDS LNF #10452 LYNNFIELD           MA,Merchandise & Supplies-Groceries,39.3,08/11/2022,
09/28/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-150.0
09/26/2023,Ach Deposit Internet Transfer (reversal),Other,,,150.0
09/23/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-150.0
09/22/2023,Market Basket,Grocery,,,17.79
09/12/2023,AMK Brandeis the Hoot,Restaurants,,,11.68
09/13/2023,Shake Shack,Restaurants,,,28.62
09/13/2023,Tesla Store,Other,,,10.8
09/10/2023,Tesla Store,Other,,,9.99
09/08/2023,Chick-fil-A,Restaurants,,,12.72
09/08/2023,Whole Foods Market,Grocery,,,21.24
09/06/2023,Shake Shack,Restaurants,,,36.08
09/30/2023,Monthly Installments (6 Of 12),Installment,,,42.0
09/26/2022,Tesla Store,Other,,,17.16
09/25/2022,Tesla Store,Other,,,3.96
09/23/2022,Tesla Store,Other,,,4.84
09/22/2022,Tesla Store,Other,,,16.56
09/20/2022,Tesla Supercharger,Other,,,16.72
09/19/2022,Tesla Supercharger,Other,,,14.96
09/18/2022,Tesla Supercharger,Other,,,8.36
09/17/2022,Tesla Supercharger,Other,,,15.4
09/17/2022,Tesla Supercharger,Other,,,12.87
09/16/2022,Tesla Supercharger,Other,,,9.02
09/15/2022,Tesla Supercharger,Other,,,10.58
09/12/2022,Tesla Store,Other,,,12.76
09/12/2022,Tesla Store,Other,,,34.01
09/12/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-155.23
09/11/2022,Tesla Store,Other,,,7.04
09/30/2022,Monthly Installments (2 Of 12),Installment,,,9.91
09/30/2022,Monthly Installments (2 Of 12),Installment,,,9.91
09/30/2022,Monthly Installments (2 Of 12),Installment,,,91.58
05/30/2023,www.redbubble.com,Other,,,41.96
05/27/2023,Chipotle Mexican Grill,Restaurants,,,21.48
05/20/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
05/13/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-150.0
05/10/2023,Tesla Store,Other,,,9.99
05/06/2023,Chipotle Mexican Grill,Restaurants,,,21.48
05/06/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-150.0
05/02/2023,Chipotle Mexican Grill,Restaurants,,,35.69
05/31/2023,Monthly Installments (2 Of 12),Installment,,,42.0
12/31/2022,Uber Eats,Restaurants,,,85.39
12/25/2022,Tesla Store,Other,,,5.76
12/26/2022,Tesla Store,Other,,,8.41
12/20/2022,Cms*American Food and,Restaurants,,,2.6
12/13/2022,Cms*American Food and,Restaurants,,,2.85
12/13/2022,Tesla Store,Other,,,9.28
12/10/2022,Tesla Store,Utilities,,,9.99
12/09/2022,Tesla Supercharger,Other,,,6.38
02/28/2024,Teriyaki Madness Burli,Restaurants,,,18.92
02/26/2024,CVS Pharmacy,Other,,,16.45
02/24/2024,Tesla Store,Other,,,8.16
02/18/2024,CVS Pharmacy,Other,,,11.0
02/17/2024,Tesla Store,Other,,,9.5
02/12/2024,Whole Foods Market,Grocery,,,41.61
02/12/2024,Michaels Stores,Other,,,46.42
02/10/2024,Tesla,Other,,,9.99
02/10/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-110.48
02/07/2024,Whole Foods Market,Grocery,,,8.49
02/07/2024,SP Shop Arizona,Grocery,,,39.99
02/04/2024,CVS Pharmacy,Other,,,51.15
02/04/2024,LEGO Store,Other,,,63.74
02/03/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
02/02/2024,Market Basket,Grocery,,,43.19
02/29/2024,Monthly Installments (11 Of 12),Installment,,,42.0
12/31/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
12/24/2023,Teriyaki Madness Burli,Restaurants,,,41.24
12/23/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
12/20/2023,CVS Pharmacy,Other,,,18.26
12/19/2023,Grubhub,Restaurants,,,13.86
12/17/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
12/10/2023,Tesla,Other,,,9.99
12/08/2023,CVS Pharmacy,Other,,,3.98
12/08/2023,Whole Foods Market,Grocery,,,27.61
12/09/2023,Tesla Store,Other,,,8.2
12/08/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
12/07/2023,SP Crochet Bliss,Other,,,69.98
12/03/2023,CVS Pharmacy,Other,,,17.82
12/01/2023,Chipotle Mexican Grill,Restaurants,,,25.69
12/31/2023,Monthly Installments (9 Of 12),Installment,,,42.0
08/31/2022,Uber Eats,Restaurants,,,36.79
08/25/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-173.19
08/06/2022,Apple Rockingham Park,Other,,,129.95
08/01/2022,Uber Eats,Restaurants,,,43.24
08/31/2022,Monthly Installments (1 Of 12),Installment,,,9.91
08/31/2022,Monthly Installments (1 Of 12),Installment,,,9.91
08/31/2022,Monthly Installments (1 Of 12),Installment,,,91.58
08/31/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-113.63
08/21/2023,Chipotle Mexican Grill,Restaurants,,,27.98
08/12/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
08/10/2023,Tesla Store,Other,,,9.99
08/01/2023,Chipotle Mexican Grill,Restaurants,,,35.75
08/31/2023,Monthly Installments (5 Of 12),Installment,,,42.0
02/28/2023,Uber Eats,Restaurants,,,35.67
02/24/2023,Uber Eats,Restaurants,,,47.07
02/24/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-117.41
02/19/2023,Uber,Restaurants,,,68.49
02/10/2023,Uber Eats,Restaurants,,,48.85
02/10/2023,Tesla Store,Other,,,9.99
02/09/2023,Zeco Systems,Other,,,25.0
02/10/2023,Tesla Store,Other,,,5.51
02/08/2023,Tesla Supercharger,Other,,,7.25
02/08/2023,Blu,Restaurants,,,110.0
02/04/2023,Tesla Store,Other,,,9.24
02/02/2023,Tesla Store,Other,,,9.72
02/01/2023,Tesla Store,Other,,,11.34
02/01/2023,Brandeis University,Other,,,34.0
02/01/2023,La Hacienda Resta,Restaurants,,,48.39
01/31/2023,Childrens Parking Gara,Medical,,,2.0
10/28/2023,Starbucks,Restaurants,,,8.05
10/25/2023,SP Fc097c,Other,,,69.99
10/23/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-106.69
10/10/2023,Uber Eats,Restaurants,,,40.06
10/10/2023,Tesla Store,Other,,,9.99
10/07/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
10/31/2023,Monthly Installments (7 Of 12),Installment,,,42.0
01/30/2023,Brandeis University,Other,,,20.0
01/25/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-130.66
01/22/2023,Uber,Restaurants,,,47.06
01/23/2023,Etsy,Shopping,,,40.36
01/10/2023,Tesla Store,Other,,,9.99
10/21/2022,Tesla Store,Other,,,2.42
10/19/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-288.6
09/30/2022,Tesla Store,Other,,,8.8
10/31/2022,Monthly Installments (3 Of 12),Installment,,,9.91
10/31/2022,Monthly Installments (3 Of 12),Installment,,,9.91
10/31/2022,Monthly Installments (3 Of 12),Installment,,,91.58
06/27/2023,Yard House Ec 0108381,Restaurants,,,19.25
06/27/2023,Chipotle Mexican Grill,Restaurants,,,35.62
06/24/2023,Chipotle Mexican Grill,Restaurants,,,18.32
06/24/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
06/20/2023,Chipotle Mexican Grill,Restaurants,,,39.37
06/17/2023,Chipotle Mexican Grill,Restaurants,,,20.48
06/15/2023,Chipotle Mexican Grill,Restaurants,,,25.95
06/10/2023,Tesla Store,Other,,,9.99
06/10/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
06/08/2023,Daily Cash Adjustment,Debit,,,0.21
06/07/2023,Target.com * 7000 Target Parkway. 800-591-3869 55445 Mn Usa (return),Credit,,,-10.61
